week,team,opponent,hypothetical rating,error
2,Ohio State,Notre Dame,43.0,81.55
10,Ohio State,Penn State,43.0,16.41
6,Ohio State,Rutgers,43.0,3.66
4,Ohio State,Toledo,43.0,48.8
5,Ohio State,Wisconsin,43.0,2.91
3,Ohio State,Arkansas State,44.0,11.65
9,Ohio State,Iowa,44.0,31.85
7,Ohio State,Michigan State,44.0,0.04
2,Ohio State,Notre Dame,44.0,89.05
10,Ohio State,Penn State,44.0,20.29
6,Ohio State,Rutgers,44.0,5.44
4,Ohio State,Toledo,44.0,43.14
5,Ohio State,Wisconsin,44.0,1.67
3,Ohio State,Arkansas State,45.0,14.66
9,Ohio State,Iowa,45.0,27.1
7,Ohio State,Michigan State,45.0,0.06
2,Ohio State,Notre Dame,45.0,96.88
10,Ohio State,Penn State,45.0,24.58
6,Ohio State,Rutgers,45.0,7.56
4,Ohio State,Toledo,45.0,37.83
5,Ohio State,Wisconsin,45.0,0.77
3,Ohio State,Arkansas State,46.0,18.01
9,Ohio State,Iowa,46.0,22.73
7,Ohio State,Michigan State,46.0,0.43
2,Ohio State,Notre Dame,46.0,105.05
10,Ohio State,Penn State,46.0,29.28
6,Ohio State,Rutgers,46.0,10.04
4,Ohio State,Toledo,46.0,32.86
5,Ohio State,Wisconsin,46.0,0.21
3,Ohio State,Arkansas State,47.0,21.7
9,Ohio State,Iowa,47.0,18.74
7,Ohio State,Michigan State,47.0,1.17
2,Ohio State,Notre Dame,47.0,113.54
10,Ohio State,Penn State,47.0,34.4
6,Ohio State,Rutgers,47.0,12.87
4,Ohio State,Toledo,47.0,28.25
5,Ohio State,Wisconsin,47.0,0.0
3,Ohio State,Arkansas State,48.0,25.74
9,Ohio State,Iowa,48.0,15.14
7,Ohio State,Michigan State,48.0,2.26
2,Ohio State,Notre Dame,48.0,122.36
10,Ohio State,Penn State,48.0,39.92
6,Ohio State,Rutgers,48.0,16.05
4,Ohio State,Toledo,48.0,23.98
5,Ohio State,Wisconsin,48.0,0.13
3,Ohio State,Arkansas State,49.0,30.12
9,Ohio State,Iowa,49.0,11.93
7,Ohio State,Michigan State,49.0,3.72
2,Ohio State,Notre Dame,49.0,131.52
10,Ohio State,Penn State,49.0,45.86
6,Ohio State,Rutgers,49.0,19.57
4,Ohio State,Toledo,49.0,20.07
5,Ohio State,Wisconsin,49.0,0.61
10,Oklahoma,Iowa State,9.0,171.89
8,Oklahoma,Kansas,9.0,32.81
3,Oklahoma,Kent State,9.0,78.71
4,Oklahoma,Nebraska,9.0,213.79
2,Oklahoma,Texas-El Paso,9.0,43.78
5,Oklahoma,Kansas State,9.0,0.05
7,Oklahoma,Texas,9.0,208.56
6,Oklahoma,Texas Christian,9.0,89.25
10,Oklahoma,Iowa State,10.0,160.21
8,Oklahoma,Kansas,10.0,28.08
3,Oklahoma,Kent State,10.0,71.62
4,Oklahoma,Nebraska,10.0,201.93
2,Oklahoma,Texas-El Paso,10.0,38.49
5,Oklahoma,Kansas State,10.0,0.04
7,Oklahoma,Texas,10.0,220.96
6,Oklahoma,Texas Christian,10.0,97.33
10,Oklahoma,Iowa State,11.0,148.93
8,Oklahoma,Kansas,11.0,23.72
3,Oklahoma,Kent State,11.0,64.87
4,Oklahoma,Nebraska,11.0,190.41
2,Oklahoma,Texas-El Paso,11.0,33.54
5,Oklahoma,Kansas State,11.0,0.37
7,Oklahoma,Texas,11.0,233.72
6,Oklahoma,Texas Christian,11.0,105.76
10,Oklahoma,Iowa State,12.0,138.07
8,Oklahoma,Kansas,12.0,19.72
3,Oklahoma,Kent State,12.0,58.46
4,Oklahoma,Nebraska,12.0,179.22
2,Oklahoma,Texas-El Paso,12.0,28.94
5,Oklahoma,Kansas State,12.0,1.04
7,Oklahoma,Texas,12.0,246.84
6,Oklahoma,Texas Christian,12.0,114.54
10,Oklahoma,Iowa State,13.0,127.62
8,Oklahoma,Kansas,13.0,16.09
3,Oklahoma,Kent State,13.0,52.37
4,Oklahoma,Nebraska,13.0,168.38
2,Oklahoma,Texas-El Paso,13.0,24.67
5,Oklahoma,Kansas State,13.0,2.06
7,Oklahoma,Texas,13.0,260.31
6,Oklahoma,Texas Christian,13.0,123.67
10,Oklahoma,Iowa State,14.0,117.58
8,Oklahoma,Kansas,14.0,12.83
3,Oklahoma,Kent State,14.0,46.63
4,Oklahoma,Nebraska,14.0,157.87
2,Oklahoma,Texas-El Paso,14.0,20.74
5,Oklahoma,Kansas State,14.0,3.42
7,Oklahoma,Texas,14.0,274.14
6,Oklahoma,Texas Christian,14.0,133.15
10,Oklahoma,Iowa State,15.0,107.95
8,Oklahoma,Kansas,15.0,9.94
3,Oklahoma,Kent State,15.0,41.21
4,Oklahoma,Nebraska,15.0,147.7
2,Oklahoma,Texas-El Paso,15.0,17.16
5,Oklahoma,Kansas State,15.0,5.13
7,Oklahoma,Texas,15.0,288.33
6,Oklahoma,Texas Christian,15.0,142.98
10,Oklahoma,Iowa State,16.0,98.74
8,Oklahoma,Kansas,16.0,7.42
3,Oklahoma,Kent State,16.0,36.13
4,Oklahoma,Nebraska,16.0,137.87
2,Oklahoma,Texas-El Paso,16.0,13.91
5,Oklahoma,Kansas State,16.0,7.18
7,Oklahoma,Texas,16.0,302.88
6,Oklahoma,Texas Christian,16.0,153.16
10,Oklahoma,Iowa State,17.0,89.93
8,Oklahoma,Kansas,17.0,5.27
3,Oklahoma,Kent State,17.0,31.39
4,Oklahoma,Nebraska,17.0,128.38
2,Oklahoma,Texas-El Paso,17.0,11.0
5,Oklahoma,Kansas State,17.0,9.57
7,Oklahoma,Texas,17.0,317.78
6,Oklahoma,Texas Christian,17.0,163.69
10,Oklahoma,Iowa State,18.0,81.53
8,Oklahoma,Kansas,18.0,3.48
3,Oklahoma,Kent State,18.0,26.97
4,Oklahoma,Nebraska,18.0,119.22
2,Oklahoma,Texas-El Paso,18.0,8.44
5,Oklahoma,Kansas State,18.0,12.31
7,Oklahoma,Texas,18.0,333.05
6,Oklahoma,Texas Christian,18.0,174.58
10,Oklahoma,Iowa State,19.0,73.55
8,Oklahoma,Kansas,19.0,2.06
3,Oklahoma,Kent State,19.0,22.9
4,Oklahoma,Nebraska,19.0,110.41
2,Oklahoma,Texas-El Paso,19.0,6.21
5,Oklahoma,Kansas State,19.0,15.39
7,Oklahoma,Texas,19.0,348.67
6,Oklahoma,Texas Christian,19.0,185.81
10,Oklahoma,Iowa State,20.0,65.98
8,Oklahoma,Kansas,20.0,1.01
3,Oklahoma,Kent State,20.0,19.15
4,Oklahoma,Nebraska,20.0,101.93
2,Oklahoma,Texas-El Paso,20.0,4.32
5,Oklahoma,Kansas State,20.0,18.81
7,Oklahoma,Texas,20.0,364.65
6,Oklahoma,Texas Christian,20.0,197.39
10,Oklahoma,Iowa State,21.0,58.82
8,Oklahoma,Kansas,21.0,0.33
3,Oklahoma,Kent State,21.0,15.74
4,Oklahoma,Nebraska,21.0,93.79
2,Oklahoma,Texas-El Paso,21.0,2.78
5,Oklahoma,Kansas State,21.0,22.58
7,Oklahoma,Texas,21.0,380.98
6,Oklahoma,Texas Christian,21.0,209.32
10,Oklahoma,Iowa State,22.0,52.07
8,Oklahoma,Kansas,22.0,0.02
3,Oklahoma,Kent State,22.0,12.67
4,Oklahoma,Nebraska,22.0,85.99
2,Oklahoma,Texas-El Paso,22.0,1.57
5,Oklahoma,Kansas State,22.0,26.69
7,Oklahoma,Texas,22.0,397.68
6,Oklahoma,Texas Christian,22.0,221.6
10,Oklahoma,Iowa State,23.0,45.73
8,Oklahoma,Kansas,23.0,0.08
3,Oklahoma,Kent State,23.0,9.92
4,Oklahoma,Nebraska,23.0,78.53
2,Oklahoma,Texas-El Paso,23.0,0.71
5,Oklahoma,Kansas State,23.0,31.15
7,Oklahoma,Texas,23.0,414.73
6,Oklahoma,Texas Christian,23.0,234.23
10,Oklahoma,Iowa State,24.0,39.8
8,Oklahoma,Kansas,24.0,0.5
3,Oklahoma,Kent State,24.0,7.52
4,Oklahoma,Nebraska,24.0,71.41
2,Oklahoma,Texas-El Paso,24.0,0.18
5,Oklahoma,Kansas State,24.0,35.95
7,Oklahoma,Texas,24.0,432.14
6,Oklahoma,Texas Christian,24.0,247.21
2,Oregon State,Boise State,5.0,36.32
9,Oregon State,Colorado,5.0,74.12
3,Oregon State,Fresno State,5.0,2.39
4,Oregon State,Montana State,5.0,22.2
7,Oregon State,Stanford,5.0,3.05
8,Oregon State,Washington State,5.0,59.34
5,Oregon State,Southern California,5.0,2.5
6,Oregon State,Utah,5.0,37.75
2,Oregon State,Boise State,6.0,31.59
9,Oregon State,Colorado,6.0,66.77
3,Oregon State,Fresno State,6.0,1.29
4,Oregon State,Montana State,6.0,18.97
7,Oregon State,Stanford,6.0,1.75
8,Oregon State,Washington State,6.0,52.91
5,Oregon State,Southern California,6.0,1.36
6,Oregon State,Utah,6.0,43.06
2,Oregon State,Boise State,7.0,27.19
9,Oregon State,Colorado,7.0,59.8
3,Oregon State,Fresno State,7.0,0.53
4,Oregon State,Montana State,7.0,15.99
7,Oregon State,Stanford,7.0,0.81
8,Oregon State,Washington State,7.0,46.85
5,Oregon State,Southern California,7.0,0.57
6,Oregon State,Utah,7.0,48.73
2,Oregon State,Boise State,8.0,23.12
9,Oregon State,Colorado,8.0,53.22
3,Oregon State,Fresno State,8.0,0.1
4,Oregon State,Montana State,8.0,13.27
7,Oregon State,Stanford,8.0,0.23
8,Oregon State,Washington State,8.0,41.16
5,Oregon State,Southern California,8.0,0.11
6,Oregon State,Utah,8.0,54.75
2,Oregon State,Boise State,9.0,19.37
9,Oregon State,Colorado,9.0,47.02
3,Oregon State,Fresno State,9.0,0.01
4,Oregon State,Montana State,9.0,10.8
7,Oregon State,Stanford,9.0,0.0
8,Oregon State,Washington State,9.0,35.84
5,Oregon State,Southern California,9.0,0.01
6,Oregon State,Utah,9.0,61.11
2,Oregon State,Boise State,10.0,15.96
9,Oregon State,Colorado,10.0,41.21
3,Oregon State,Fresno State,10.0,0.25
4,Oregon State,Montana State,10.0,8.59
7,Oregon State,Stanford,10.0,0.14
8,Oregon State,Washington State,10.0,30.88
5,Oregon State,Southern California,10.0,0.24
6,Oregon State,Utah,10.0,67.83
2,Oregon State,Boise State,11.0,12.88
9,Oregon State,Colorado,11.0,35.78
3,Oregon State,Fresno State,11.0,0.82
4,Oregon State,Montana State,11.0,6.62
7,Oregon State,Stanford,11.0,0.63
8,Oregon State,Washington State,11.0,26.3
5,Oregon State,Southern California,11.0,0.82
6,Oregon State,Utah,11.0,74.9
2,Oregon State,Boise State,12.0,10.13
9,Oregon State,Colorado,12.0,30.73
3,Oregon State,Fresno State,12.0,1.73
4,Oregon State,Montana State,12.0,4.92
7,Oregon State,Stanford,12.0,1.48
8,Oregon State,Washington State,12.0,22.08
5,Oregon State,Southern California,12.0,1.75
6,Oregon State,Utah,12.0,82.31
2,Oregon State,Boise State,13.0,7.71
9,Oregon State,Colorado,13.0,26.06
3,Oregon State,Fresno State,13.0,2.97
4,Oregon State,Montana State,13.0,3.46
7,Oregon State,Stanford,13.0,2.68
8,Oregon State,Washington State,13.0,18.23
5,Oregon State,Southern California,13.0,3.01
6,Oregon State,Utah,13.0,90.08
2,Oregon State,Boise State,14.0,5.62
9,Oregon State,Colorado,14.0,21.78
3,Oregon State,Fresno State,14.0,4.55
4,Oregon State,Montana State,14.0,2.26
7,Oregon State,Stanford,14.0,4.25
8,Oregon State,Washington State,14.0,14.75
5,Oregon State,Southern California,14.0,4.62
6,Oregon State,Utah,14.0,98.2
2,Oregon State,Boise State,15.0,3.86
9,Oregon State,Colorado,15.0,17.89
3,Oregon State,Fresno State,15.0,6.46
4,Oregon State,Montana State,15.0,1.32
7,Oregon State,Stanford,15.0,6.17
8,Oregon State,Washington State,15.0,11.64
5,Oregon State,Southern California,15.0,6.58
6,Oregon State,Utah,15.0,106.67
2,Oregon State,Boise State,16.0,2.43
9,Oregon State,Colorado,16.0,14.37
3,Oregon State,Fresno State,16.0,8.71
4,Oregon State,Montana State,16.0,0.63
7,Oregon State,Stanford,16.0,8.45
8,Oregon State,Washington State,16.0,8.89
5,Oregon State,Southern California,16.0,8.88
6,Oregon State,Utah,16.0,115.48
2,Oregon State,Boise State,17.0,1.33
9,Oregon State,Colorado,17.0,11.24
3,Oregon State,Fresno State,17.0,11.29
4,Oregon State,Montana State,17.0,0.19
7,Oregon State,Stanford,17.0,11.09
8,Oregon State,Washington State,17.0,6.52
5,Oregon State,Southern California,17.0,11.52
6,Oregon State,Utah,17.0,124.65
2,Oregon State,Boise State,18.0,0.56
9,Oregon State,Colorado,18.0,8.5
3,Oregon State,Fresno State,18.0,14.2
4,Oregon State,Montana State,18.0,0.01
7,Oregon State,Stanford,18.0,14.09
8,Oregon State,Washington State,18.0,4.51
5,Oregon State,Southern California,18.0,14.51
6,Oregon State,Utah,18.0,134.17
2,Oregon State,Boise State,19.0,0.11
9,Oregon State,Colorado,19.0,6.14
3,Oregon State,Fresno State,19.0,17.45
4,Oregon State,Montana State,19.0,0.08
7,Oregon State,Stanford,19.0,17.45
8,Oregon State,Washington State,19.0,2.87
5,Oregon State,Southern California,19.0,17.84
6,Oregon State,Utah,19.0,144.04
2,Oregon State,Boise State,20.0,0.0
9,Oregon State,Colorado,20.0,4.16
3,Oregon State,Fresno State,20.0,21.03
4,Oregon State,Montana State,20.0,0.4
7,Oregon State,Stanford,20.0,21.16
8,Oregon State,Washington State,20.0,1.6
5,Oregon State,Southern California,20.0,21.51
6,Oregon State,Utah,20.0,154.25
2,Rutgers,Boston College,-6.0,8.75
9,Rutgers,Indiana,-6.0,64.98
4,Rutgers,Temple,-6.0,24.58
3,Rutgers,Wagner,-6.0,67.87
5,Rutgers,Iowa,-6.0,0.61
10,Rutgers,Minnesota,-6.0,4.28
7,Rutgers,Nebraska,-6.0,12.88
6,Rutgers,Ohio State,-6.0,0.44
2,Rutgers,Boston College,-5.0,6.51
9,Rutgers,Indiana,-5.0,58.11
4,Rutgers,Temple,-5.0,20.67
3,Rutgers,Wagner,-5.0,62.02
5,Rutgers,Iowa,-5.0,0.13
10,Rutgers,Minnesota,-5.0,6.37
7,Rutgers,Nebraska,-5.0,10.02
6,Rutgers,Ohio State,-5.0,0.06
2,Rutgers,Boston College,-4.0,4.6
9,Rutgers,Indiana,-4.0,51.63
4,Rutgers,Temple,-4.0,17.1
3,Rutgers,Wagner,-4.0,56.43
5,Rutgers,Iowa,-4.0,0.0
10,Rutgers,Minnesota,-4.0,8.86
7,Rutgers,Nebraska,-4.0,7.52
6,Rutgers,Ohio State,-4.0,0.03
2,Rutgers,Boston College,-3.0,3.03
9,Rutgers,Indiana,-3.0,45.52
4,Rutgers,Temple,-3.0,13.87
3,Rutgers,Wagner,-3.0,51.1
5,Rutgers,Iowa,-3.0,0.21
10,Rutgers,Minnesota,-3.0,11.76
7,Rutgers,Nebraska,-3.0,5.38
6,Rutgers,Ohio State,-3.0,0.35
2,Rutgers,Boston College,-2.0,1.78
9,Rutgers,Indiana,-2.0,39.8
4,Rutgers,Temple,-2.0,10.97
3,Rutgers,Wagner,-2.0,46.04
5,Rutgers,Iowa,-2.0,0.77
10,Rutgers,Minnesota,-2.0,15.08
7,Rutgers,Nebraska,-2.0,3.6
6,Rutgers,Ohio State,-2.0,1.02
2,Rutgers,Boston College,-1.0,0.86
9,Rutgers,Indiana,-1.0,34.47
4,Rutgers,Temple,-1.0,8.42
3,Rutgers,Wagner,-1.0,41.24
5,Rutgers,Iowa,-1.0,1.67
10,Rutgers,Minnesota,-1.0,18.81
7,Rutgers,Nebraska,-1.0,2.17
6,Rutgers,Ohio State,-1.0,2.05
2,Rutgers,Boston College,0.0,0.27
9,Rutgers,Indiana,0.0,29.52
4,Rutgers,Temple,0.0,6.2
3,Rutgers,Wagner,0.0,36.7
5,Rutgers,Iowa,0.0,2.91
10,Rutgers,Minnesota,0.0,22.95
7,Rutgers,Nebraska,0.0,1.1
6,Rutgers,Ohio State,0.0,3.42
2,Rutgers,Boston College,1.0,0.01
9,Rutgers,Indiana,1.0,24.95
4,Rutgers,Temple,1.0,4.32
3,Rutgers,Wagner,1.0,32.43
5,Rutgers,Iowa,1.0,4.5
10,Rutgers,Minnesota,1.0,27.5
7,Rutgers,Nebraska,1.0,0.39
6,Rutgers,Ohio State,1.0,5.14
2,Rutgers,Boston College,2.0,0.09
9,Rutgers,Indiana,2.0,20.77
4,Rutgers,Temple,2.0,2.78
3,Rutgers,Wagner,2.0,28.43
5,Rutgers,Iowa,2.0,6.43
10,Rutgers,Minnesota,2.0,32.46
7,Rutgers,Nebraska,2.0,0.04
6,Rutgers,Ohio State,2.0,7.21
2,Rutgers,Boston College,3.0,0.49
9,Rutgers,Indiana,3.0,16.97
4,Rutgers,Temple,3.0,1.58
3,Rutgers,Wagner,3.0,24.68
5,Rutgers,Iowa,3.0,8.7
10,Rutgers,Minnesota,3.0,37.83
7,Rutgers,Nebraska,3.0,0.05
6,Rutgers,Ohio State,3.0,9.63
2,Rutgers,Boston College,4.0,1.22
9,Rutgers,Indiana,4.0,13.55
4,Rutgers,Temple,4.0,0.71
3,Rutgers,Wagner,4.0,21.21
5,Rutgers,Iowa,4.0,11.32
10,Rutgers,Minnesota,4.0,43.61
7,Rutgers,Nebraska,4.0,0.41
6,Rutgers,Ohio State,4.0,12.41
2,Rutgers,Boston College,5.0,2.28
9,Rutgers,Indiana,5.0,10.52
4,Rutgers,Temple,5.0,0.19
3,Rutgers,Wagner,5.0,17.99
5,Rutgers,Iowa,5.0,14.28
10,Rutgers,Minnesota,5.0,49.81
7,Rutgers,Nebraska,5.0,1.13
6,Rutgers,Ohio State,5.0,15.53
2,Rutgers,Boston College,6.0,3.68
9,Rutgers,Indiana,6.0,7.87
4,Rutgers,Temple,6.0,0.0
3,Rutgers,Wagner,6.0,15.04
5,Rutgers,Iowa,6.0,17.59
10,Rutgers,Minnesota,6.0,56.41
7,Rutgers,Nebraska,6.0,2.22
6,Rutgers,Ohio State,6.0,19.0
2,Rutgers,Boston College,7.0,5.4
9,Rutgers,Indiana,7.0,5.6
4,Rutgers,Temple,7.0,0.15
3,Rutgers,Wagner,7.0,12.35
5,Rutgers,Iowa,7.0,21.24
10,Rutgers,Minnesota,7.0,63.43
7,Rutgers,Nebraska,7.0,3.65
6,Rutgers,Ohio State,7.0,22.82
2,Rutgers,Boston College,8.0,7.45
9,Rutgers,Indiana,8.0,3.72
4,Rutgers,Temple,8.0,0.64
3,Rutgers,Wagner,8.0,9.93
5,Rutgers,Iowa,8.0,25.23
10,Rutgers,Minnesota,8.0,70.86
7,Rutgers,Nebraska,8.0,5.45
6,Rutgers,Ohio State,8.0,27.0
2,Rutgers,Boston College,9.0,9.83
9,Rutgers,Indiana,9.0,2.22
4,Rutgers,Temple,9.0,1.47
3,Rutgers,Wagner,9.0,7.77
5,Rutgers,Iowa,9.0,29.57
10,Rutgers,Minnesota,9.0,78.7
7,Rutgers,Nebraska,9.0,7.6
6,Rutgers,Ohio State,9.0,31.52
10,South Alabama,Arkansas State,7.0,188.61
3,South Alabama,Central Michigan,7.0,21.26
6,South Alabama,Louisiana,7.0,6.37
5,South Alabama,Louisiana Tech,7.0,22.79
8,South Alabama,Louisiana-Monroe,7.0,3.6
2,South Alabama,Nicholls State,7.0,26.84
9,South Alabama,Troy,7.0,17.4
4,South Alabama,UCLA,7.0,3.48
10,South Alabama,Arkansas State,8.0,176.17
3,South Alabama,Central Michigan,8.0,17.66
6,South Alabama,Louisiana,8.0,4.43
5,South Alabama,Louisiana Tech,8.0,19.0
8,South Alabama,Louisiana-Monroe,8.0,5.41
2,South Alabama,Nicholls State,8.0,23.23
9,South Alabama,Troy,8.0,21.25
4,South Alabama,UCLA,8.0,2.11
10,South Alabama,Arkansas State,9.0,164.16
3,South Alabama,Central Michigan,9.0,14.39
6,South Alabama,Louisiana,9.0,2.85
5,South Alabama,Louisiana Tech,9.0,15.56
8,South Alabama,Louisiana-Monroe,9.0,7.6
2,South Alabama,Nicholls State,9.0,19.87
9,South Alabama,Troy,9.0,25.48
4,South Alabama,UCLA,9.0,1.09
10,South Alabama,Arkansas State,10.0,152.58
3,South Alabama,Central Michigan,10.0,11.45
6,South Alabama,Louisiana,10.0,1.61
5,South Alabama,Louisiana Tech,10.0,12.46
8,South Alabama,Louisiana-Monroe,10.0,10.15
2,South Alabama,Nicholls State,10.0,16.78
9,South Alabama,Troy,10.0,30.09
4,South Alabama,UCLA,10.0,0.4
10,South Alabama,Arkansas State,11.0,141.42
3,South Alabama,Central Michigan,11.0,8.86
6,South Alabama,Louisiana,11.0,0.72
5,South Alabama,Louisiana Tech,11.0,9.71
8,South Alabama,Louisiana-Monroe,11.0,13.06
2,South Alabama,Nicholls State,11.0,13.96
9,South Alabama,Troy,11.0,35.09
4,South Alabama,UCLA,11.0,0.05
10,South Alabama,Arkansas State,12.0,130.68
3,South Alabama,Central Michigan,12.0,6.59
6,South Alabama,Louisiana,12.0,0.19
5,South Alabama,Louisiana Tech,12.0,7.29
8,South Alabama,Louisiana-Monroe,12.0,16.35
2,South Alabama,Nicholls State,12.0,11.39
9,South Alabama,Troy,12.0,40.47
4,South Alabama,UCLA,12.0,0.04
10,South Alabama,Arkansas State,13.0,120.37
3,South Alabama,Central Michigan,13.0,4.66
6,South Alabama,Louisiana,13.0,0.0
5,South Alabama,Louisiana Tech,13.0,5.23
8,South Alabama,Louisiana-Monroe,13.0,20.01
2,South Alabama,Nicholls State,13.0,9.08
9,South Alabama,Troy,13.0,46.23
4,South Alabama,UCLA,13.0,0.36
10,South Alabama,Arkansas State,14.0,110.48
3,South Alabama,Central Michigan,14.0,3.06
6,South Alabama,Louisiana,14.0,0.16
5,South Alabama,Louisiana Tech,14.0,3.5
8,South Alabama,Louisiana-Monroe,14.0,24.03
2,South Alabama,Nicholls State,14.0,7.03
9,South Alabama,Troy,14.0,52.38
4,South Alabama,UCLA,14.0,1.03
10,South Alabama,Arkansas State,15.0,101.01
3,South Alabama,Central Michigan,15.0,1.8
6,South Alabama,Louisiana,15.0,0.68
5,South Alabama,Louisiana Tech,15.0,2.12
8,South Alabama,Louisiana-Monroe,15.0,28.42
2,South Alabama,Nicholls State,15.0,5.25
9,South Alabama,Troy,15.0,58.91
4,South Alabama,UCLA,15.0,2.03
10,South Alabama,Arkansas State,16.0,91.97
3,South Alabama,Central Michigan,16.0,0.87
6,South Alabama,Louisiana,16.0,1.54
5,South Alabama,Louisiana Tech,16.0,1.09
8,South Alabama,Louisiana-Monroe,16.0,33.18
2,South Alabama,Nicholls State,16.0,3.72
9,South Alabama,Troy,16.0,65.83
4,South Alabama,UCLA,16.0,3.38
10,South Alabama,Arkansas State,17.0,83.35
3,South Alabama,Central Michigan,17.0,0.27
6,South Alabama,Louisiana,17.0,2.75
5,South Alabama,Louisiana Tech,17.0,0.39
8,South Alabama,Louisiana-Monroe,17.0,38.31
2,South Alabama,Nicholls State,17.0,2.46
9,South Alabama,Troy,17.0,73.13
4,South Alabama,UCLA,17.0,5.06
10,South Alabama,Arkansas State,18.0,75.16
3,South Alabama,Central Michigan,18.0,0.01
6,South Alabama,Louisiana,18.0,4.32
5,South Alabama,Louisiana Tech,18.0,0.05
8,South Alabama,Louisiana-Monroe,18.0,43.81
2,South Alabama,Nicholls State,18.0,1.46
9,South Alabama,Troy,18.0,80.81
4,South Alabama,UCLA,18.0,7.08
10,South Alabama,Arkansas State,19.0,67.39
3,South Alabama,Central Michigan,19.0,0.09
6,South Alabama,Louisiana,19.0,6.23
5,South Alabama,Louisiana Tech,19.0,0.04
8,South Alabama,Louisiana-Monroe,19.0,49.68
2,South Alabama,Nicholls State,19.0,0.72
9,South Alabama,Troy,19.0,88.88
4,South Alabama,UCLA,19.0,9.43
10,South Alabama,Arkansas State,20.0,60.04
3,South Alabama,Central Michigan,20.0,0.49
6,South Alabama,Louisiana,20.0,8.5
5,South Alabama,Louisiana Tech,20.0,0.38
8,South Alabama,Louisiana-Monroe,20.0,55.91
2,South Alabama,Nicholls State,20.0,0.23
9,South Alabama,Troy,20.0,97.33
4,South Alabama,UCLA,20.0,12.13
10,South Alabama,Arkansas State,21.0,53.12
3,South Alabama,Central Michigan,21.0,1.23
6,South Alabama,Louisiana,21.0,11.11
5,South Alabama,Louisiana Tech,21.0,1.06
8,South Alabama,Louisiana-Monroe,21.0,62.52
2,South Alabama,Nicholls State,21.0,0.02
9,South Alabama,Troy,21.0,106.16
4,South Alabama,UCLA,21.0,15.17
10,South Alabama,Arkansas State,22.0,46.62
3,South Alabama,Central Michigan,22.0,2.31
6,South Alabama,Louisiana,22.0,14.07
5,South Alabama,Louisiana Tech,22.0,2.09
8,South Alabama,Louisiana-Monroe,22.0,69.49
2,South Alabama,Nicholls State,22.0,0.06
9,South Alabama,Troy,22.0,115.38
4,South Alabama,UCLA,22.0,18.54
5,South Carolina,Charlotte,3.0,120.07
2,South Carolina,Georgia State,3.0,49.68
7,South Carolina,Kentucky,3.0,69.28
6,South Carolina,South Carolina State,3.0,42.26
9,South Carolina,Texas A&M,3.0,42.94
3,South Carolina,Arkansas,3.0,0.18
4,South Carolina,Georgia,3.0,59.82
10,South Carolina,Missouri,3.0,7.55
5,South Carolina,Charlotte,4.0,111.02
2,South Carolina,Georgia State,4.0,44.12
7,South Carolina,Kentucky,4.0,62.41
6,South Carolina,South Carolina State,4.0,37.56
9,South Carolina,Texas A&M,4.0,37.39
3,South Carolina,Arkansas,4.0,0.7
4,South Carolina,Georgia,4.0,66.35
10,South Carolina,Missouri,4.0,10.24
5,South Carolina,Charlotte,5.0,102.33
2,South Carolina,Georgia State,5.0,38.89
7,South Carolina,Kentucky,5.0,55.91
6,South Carolina,South Carolina State,5.0,33.14
9,South Carolina,Texas A&M,5.0,32.22
3,South Carolina,Arkansas,5.0,1.55
4,South Carolina,Georgia,5.0,73.23
10,South Carolina,Missouri,5.0,13.35
5,South Carolina,Charlotte,6.0,93.99
2,South Carolina,Georgia State,6.0,33.99
7,South Carolina,Kentucky,6.0,49.76
6,South Carolina,South Carolina State,6.0,29.0
9,South Carolina,Texas A&M,6.0,27.44
3,South Carolina,Arkansas,6.0,2.73
4,South Carolina,Georgia,6.0,80.44
10,South Carolina,Missouri,6.0,16.87
5,South Carolina,Charlotte,7.0,86.01
2,South Carolina,Georgia State,7.0,29.42
7,South Carolina,Kentucky,7.0,43.97
6,South Carolina,South Carolina State,7.0,25.13
9,South Carolina,Texas A&M,7.0,23.04
3,South Carolina,Arkansas,7.0,4.25
4,South Carolina,Georgia,7.0,87.99
10,South Carolina,Missouri,7.0,20.8
5,South Carolina,Charlotte,8.0,78.38
2,South Carolina,Georgia State,8.0,25.17
7,South Carolina,Kentucky,8.0,38.54
6,South Carolina,South Carolina State,8.0,21.54
9,South Carolina,Texas A&M,8.0,19.03
3,South Carolina,Arkansas,8.0,6.1
4,South Carolina,Georgia,8.0,95.87
10,South Carolina,Missouri,8.0,25.14
5,South Carolina,Charlotte,9.0,71.1
2,South Carolina,Georgia State,9.0,21.26
7,South Carolina,Kentucky,9.0,33.46
6,South Carolina,South Carolina State,9.0,18.22
9,South Carolina,Texas A&M,9.0,15.4
3,South Carolina,Arkansas,9.0,8.28
4,South Carolina,Georgia,9.0,104.1
10,South Carolina,Missouri,9.0,29.9
5,South Carolina,Charlotte,10.0,64.18
2,South Carolina,Georgia State,10.0,17.68
7,South Carolina,Kentucky,10.0,28.75
6,South Carolina,South Carolina State,10.0,15.18
9,South Carolina,Texas A&M,10.0,12.16
3,South Carolina,Arkansas,10.0,10.8
4,South Carolina,Georgia,10.0,112.66
10,South Carolina,Missouri,10.0,35.06
5,South Carolina,Charlotte,11.0,57.61
2,South Carolina,Georgia State,11.0,14.43
